名称,住所,避難場所面積,避難場所の収容可能人員,避難施設の収容可能人員,URL,コメント,電話番号,写真,担当課,経度,緯度,分類
指定避難所（立町小学校）,仙台市青葉区立町8-1,"5,380(㎡)","2,600(人)",755(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8637396,38.26175939,指定避難所
指定避難所（五橋中学校）,仙台市青葉区五橋2-2-1,"6,874(㎡)","3,400(人)","1,133(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8791886,38.25204416,指定避難所
指定避難所（台原中学校）,仙台市青葉区台原5-19-1,"12,688(㎡)","6,300(人)",926(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8806048,38.28697183,指定避難所
指定避難所（南吉成中学校）,仙台市青葉区南吉成5-18-2,"13,720(㎡)","6,800(人)",941(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8122432,38.29146861,指定避難所
指定避難所（折立中学校）,仙台市青葉区折立3-19-1,"12,496(㎡)","6,200(人)",922(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8076672,38.26596632,指定避難所
指定避難所（仙台高等学校）,仙台市青葉区国見6-52-1,"30,255(㎡)","15,000(人)","2,010(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8338474,38.28112839,指定避難所
指定避難所（仙台市青陵中等教育学校）,仙台市青葉区国見ケ丘7-144,"17,628(㎡)","8,800(人)","1,787(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8359328,38.28864982,指定避難所
指定避難所（東二番丁小学校）,仙台市青葉区一番町2-1-4,"3,157(㎡)","1,500(人)",545(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8747164,38.25942945,指定避難所
指定避難所（広陵中学校）,仙台市青葉区熊ヶ根字石積1-2,"8,703(㎡)","4,300(人)",642(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.6822606,38.29956126,指定避難所
指定避難所（幸町小学校）,仙台市宮城野区幸町2-19-1,"6,795(㎡)","3,300(人)",675(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8980514,38.2765539,指定避難所
指定避難所（鶴谷中学校）,仙台市宮城野区鶴ヶ谷5-24,"20,297(㎡)","10,100(人)",842(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.914844,38.29191052,指定避難所
指定避難所（東仙台中学校）,仙台市宮城野区東仙台2-16-1,"6,835(㎡)","3,400(人)","1,105(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9176358,38.2772432,指定避難所
指定避難所（榴岡小学校）,仙台市宮城野区東九番丁88-1,"5,015(㎡)","2,500(人)",848(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8907451,38.26129952,指定避難所
指定避難所（仙台工業高等学校）,仙台市宮城野区東宮城野3-1,"25,144(㎡)","12,500(人)","2,534(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9176066,38.26052219,指定避難所
指定避難所（燕沢小学校）,仙台市宮城野区燕沢東3-8-1,"6,740(㎡)","3,300(人)",805(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9298201,38.28818369,指定避難所
指定避難所（新田小学校）,仙台市宮城野区新田4-30-1,"8,182(㎡)","4,000(人)",959(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9288125,38.27601018,指定避難所
