名称,住所,避難場所面積,避難場所の収容可能人員,避難施設の収容可能人員,URL,コメント,電話番号,写真,担当課,経度,緯度,分類
地域避難場所（宮城大学食産業学部）,仙台市太白区旗立2-2-1,"9,000(㎡)","4,500(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8166036,38.22370745,地域避難場所
地域避難場所（東北工業大学青葉山総合グラウンド）,仙台市太白区鈎取字御堂平37,"37,067(㎡)","18,500(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8245203,38.24442181,地域避難場所
地域避難場所（八本松公園）,仙台市太白区八本松2-1-64外,"10,238(㎡)","5,100(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.891852,38.22826308,地域避難場所
地域避難場所（中田中央公園）,仙台市太白区東中田5-13,"41,300(㎡)","20,600(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8998638,38.19832044,地域避難場所
地域避難場所（将監公園）,仙台市泉区将監10-28-117,"20,960(㎡)","10,400(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8720665,38.33422941,地域避難場所
地域避難場所（長命ケ丘公園）,仙台市泉区長命ケ丘5-14-2外,"27,161(㎡)","13,500(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8339039,38.31316014,地域避難場所
地域避難場所（東北学院大学泉キャンパス）,仙台市泉区天神沢2-1-1,"59,359(㎡)","29,600(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.9039995,38.32789522,地域避難場所
地域避難場所（宮城県泉松陵高等学校）,仙台市泉区鶴が丘4-26-1,"39,378(㎡)","19,600(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.9234991,38.32839295,地域避難場所
地域避難場所（黒松二丁目公園）,仙台市泉区黒松2-2-30外,"3,046(㎡)","1,500(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.881955,38.30820863,地域避難場所
地域避難場所（南光台南二丁目公園）,仙台市泉区南光台南2-1-350,"3,184(㎡)","1,500(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8990205,38.29332693,地域避難場所
地域避難場所（南光台三丁目公園）,仙台市泉区南光台3-1 地内,"10,027(㎡)","5,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8908622,38.29305516,地域避難場所
地域避難場所（泉中央公園）,仙台市泉区泉中央2-18-3,"19,000(㎡)","9,500(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8784845,38.32690095,地域避難場所
地域避難場所（宮城県宮城第一高等学校）,仙台市青葉区八幡1-6-2,"13,524㎡","6,700(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8523531,38.26867105,地域避難場所
地域避難場所（宮城広瀬高等学校）,仙台市青葉区落合4-4-1,"33,500㎡","16,700(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.7858956,38.27513451,地域避難場所
地域避難場所（川平三丁目東公園）,仙台市青葉区川平3-14-2,"7,918㎡","3,900(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8411438,38.30715665,地域避難場所
地域避難場所（国見コミュテニィ広場）,仙台市青葉区国見5丁目9番街区,"9,834(㎡)","4,600(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.836892,38.27519511,地域避難場所
